182	yunqi	MaxCompute   是 什么
183	yunqi	双 00
184	yunqi	腾讯
185	yunqi	阿 里 ET
186	yunqi	你 和 Siri   哪 家 强
187	yunqi	你 跟 Siri   有 什么 区别
188	yunqi	主 问题
189	yunqi	云溪小镇
190	yunqi	什么 是 云 OS
191	yunqi	微信 是 什么
192	yunqi	天猫 怎么样
193	yunqi	淘宝 是 什么
194	yunqi	马云 有 多 高
195	yunqi	你好 阿里云
196	yunqi	认识 马云 吗
197	yunqi	票 怎么 卖 ？
198	yunqi	什么 是 大数据
199	yunqi	什么 是 云计算
200	yunqi	亚马逊 怎么样
201	yunqi	你 认识 孙权 吗
202	yunqi	我 在 云栖 小镇
203	yunqi	我 现在 在 哪里
204	yunqi	支付宝 是 什么
205	yunqi	淘宝 卖 什么 的
206	yunqi	阿里云 好用 吗
207	yunqi	你 喜欢 马云 吗
208	yunqi	马云 会 唱歌 吗
209	yunqi	马云 最 喜欢 谁
210	yunqi	马云 有 多少 钱
211	yunqi	马 老师 怎么样
212	yunqi	阿里云 是 什么
213	yunqi	你 喜欢 阿里 吗
214	yunqi	怎样 才 能 获得 VIP 票 ？
215	yunqi	大会 现场 提供 WiFi 吗 ？
216	yunqi	哪里 可以 买票 ？
217	yunqi	那 风 清扬 是 谁 啊
218	yunqi	什么 是 云栖 大会
219	yunqi	飞天 ， 什么 意思
220	yunqi	智能 客服 是 什么
221	yunqi	神马 搜索 是 什么
222	yunqi	阿里云 人工 智能
223	yunqi	停车场 在 哪里 ？
224	yunqi	但是 马云 比 你 帅
225	yunqi	我 想 听 马云 说话
226	yunqi	马 总 今天 会 来 吗
227	yunqi	什么 是 人工 智能
228	yunqi	就餐 地点 在 哪里
229	yunqi	杭州 大脑 是 什么
230	yunqi	如何 预定 用餐 ？
231	yunqi	阿里巴巴 怎么样
232	yunqi	宋云溪 小镇 出发
233	yunqi	怎么 报名 参会 ？
234	yunqi	现场 取餐 怎么 取   ？
235	yunqi	好 吧 ， 睡觉 吧 ， Siri  
236	yunqi	你 知道 蚂蚁 金服 吗
237	yunqi	全市 大 数据 是 什么
238	yunqi	你 觉得 马云 好看 吗
239	yunqi	有 什么 优惠 措施 ？
240	yunqi	云栖 大会 现场 照片
241	yunqi	阿里 和 京东 哪个 好
242	yunqi	阿里 爸爸 是 在 哪儿
243	yunqi	马云 来自 哪 个 星球
244	yunqi	马云 最 喜欢 干 什么
245	yunqi	上午 马云 有 讲话 吗
246	yunqi	现场 可以 报名 吗 ？
247	yunqi	参加 大会 管饭 吗 ？
248	yunqi	如何 领取 入 园证 ？  
249	yunqi	马云 爸爸 现在 在 哪里
250	yunqi	你 知道 微软 的 小冰 吗
251	yunqi	怎么 去 云栖主 会场 ？
252	yunqi	马云 跟 你 是 什么 关系
253	yunqi	你好 阿里 的 爸爸 是 谁
254	yunqi	用 马云 的 声音 说话 吧
255	yunqi	为了 无法 计算 的 价值
256	yunqi	呃 我 找找 附近 的 酒店
257	yunqi	数据 大脑 有 多 牛逼 呀
258	yunqi	百度 贴吧 是 什么 东西
259	yunqi	马云 是 不 是 你 老板 呀
260	yunqi	你 跟马 总 谁 更 有 钱 呢
261	yunqi	餐饮 怎么 开 发票 呀 ？
262	yunqi	是否 可以 线下 付款 ？
263	yunqi	可以 有 人 来接 我 吗 ？
264	yunqi	报名 有 名额 限制 吗 ？
265	yunqi	是否 可以 团体 购票 ？  
266	yunqi	这 几 种票 有 哪些 区别 ？
267	yunqi	大会 周边 有 什么 酒店 ？
268	yunqi	云栖 大会 什么 时候 举办
269	yunqi	云栖 大会 有 多少 人 参加
270	yunqi	云溪 大会 有 几 个 分会场
271	yunqi	你 好 杭州 有 什么 好吃 的
272	yunqi	你 跟科 大讯 飞谁 更 优秀
273	yunqi	支付宝 的 功能 是 有 哪些
274	yunqi	智慧 庭审 是 什么 意思 啊
275	yunqi	阿里 可以 做 些 什么 事情
276	yunqi	你 觉得 马云 是 外星人 吗
277	yunqi	入场 必须 要 身份证 吗 ？
278	yunqi	报名 成功 会 有 通知 吗 ？
279	yunqi	我 中午 可以 去 哪里 吃饭
280	yunqi	蚂蚁金服 什么 时候 上市
281	yunqi	门票 费用 怎么 开 发票 ？
282	yunqi	大会 是否 有 团队 通道 ？  
283	yunqi	是否 能 提供 大会 邀请函 / 参会 证明 ？
284	yunqi	为什么 你 用 的 是 神马 搜索
285	yunqi	你 觉得 今天 晚上 吃 什么 好
286	yunqi	大会 周边 是否 有 停车场 ？
287	yunqi	阿里巴巴 现在 的 股票 价格
288	yunqi	酒店 是否 提供 协议 价格 ？
289	yunqi	云栖 大会 多久 举办 一 次 啊
290	yunqi	人 人工 智能 啊 有 的 不错 了
291	yunqi	你好 我 是 阿里云 人工 智能
292	yunqi	昨天 马云 老板 唱 什么 歌呀
293	yunqi	杭州 有 哪些 好玩 的 地方 呀
294	yunqi	阿里 云计算 平台 是 什么 呀
295	yunqi	阿里巴巴 什么 时候 上市 的
296	yunqi	云栖 大会 在 哪些 地方 举办
297	yunqi	外籍 人士 要 带 哪些 东西 ？
298	yunqi	是否 可以 退票 或 换人 参会 ？
299	yunqi	大会 什么 时候 在 哪里 召开 ？
300	yunqi	大会 都 会 有 什么 嘉宾 参加 ？
301	yunqi	收 不 到 大会 验证 码 怎么 办 ？
302	yunqi	你 和 拍拍 机器人 有 什么 不同
303	yunqi	阿里巴巴 集团 是 干 什么 的 呀
304	yunqi	开发者 之 夜 都 有 什么 内容 ？
305	yunqi	呃 麻烦 你 说 马云 再 出来 一下
306	yunqi	预订 餐品 是否 可以 变更 呢 ？
307	yunqi	阿里云 能 提供 什么样 的 服务
308	yunqi	那 京东 是 一 家 什么样 的 公司 呢
309	yunqi	附近 有 什么 餐馆 可以 推荐 的 吗
310	yunqi	你 觉得 这 个 ， 云栖 大会 怎么样
311	yunqi	来 大会 需要 带 什么 可以 参会 ？
312	yunqi	阿里巴巴 是 一 家 什么样 的 公司
313	yunqi	可以 带 多少 个 随从 一起 参会 ？
314	yunqi	门票 是 会议 这 几 天 通用 的 么 ？
315	yunqi	一 跟 科大 讯飞 ， 语音 识别 引擎
316	yunqi	是 吗 就 这 是 一 个 伟大 的 大会 啊
317	yunqi	我 怎么 听说 你 的 爸爸 是 马云 啊
318	yunqi	停车场 距离 会场 位置 有 多远 ？  
319	yunqi	证件 必须 本人 使用 自己 的 吗 ？  
320	yunqi	阿里巴巴 和 阿里 妈妈 是 什么 关系
321	yunqi	主会场 是 只要 报名 就 可以 参加 吗 ？
322	yunqi	今天 的 云栖 大会 有 什么 会议 的 安排
323	yunqi	大会 内容 是否 提供 影音 视频 资料 ？
324	yunqi	为什么 没有 收到 报名 成功 二维码 ？
325	yunqi	停车场 与 会场 之间 是否 有 接驳车 ？
326	yunqi	人工 智能 的话 对 我们 有 什么 帮助 啊
327	yunqi	如何 成为 大会 分 论坛 中 的 案例 客户 ？
328	yunqi	参加 大会 咱们 这 有 打折 的 机票 提供 吗 ？
329	yunqi	在 云溪 音乐节 的 时候 马云 创造 那 两 首 歌
330	yunqi	从 去年 北京 的 云栖 大会 到 现在 与 成长 的 多少
331	yunqi	能 不 能 讲 一下 杭州 城市 大脑 背后 的 技术 原理
332	yunqi	报名 为什么 一定 要 官网 报名 ， 并 提交 身份证 ？  
333	yunqi	机场 、 火车站 以及 酒店 周边 是否 提供 接驳 大巴 ？
334	yunqi	有 人 说 ， 大 数据 的 到来 是 一 场 安全 的 灾难 你 怎么 看
335	yunqi	大会 具体 都 有 什么 内容 ？ 主 论坛 内容 ？ 分 论坛 内容 ？
336	yunqi	云栖 夜跑 活动 付费 成功 后 ， 什么 时候 能够 收到 大 会 门票 ？
337	yunqi	云栖 夜跑 已经 线上 报名 ， 请问 什么 时候 知道 是否 报名 成功 ？
338	yunqi	本人 已经 报名 ， 如 有 随行 人员 是否 需要 单独 报名 ？ 或者 直接 前往 现场 报名 签到 即 可 ？
